Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison
LOC102639762	7.423262501	-1.905725071	0.4747535	2.91e-07	4.37e-05	NLGF3.vs.WT3
Mir682	134.18002	-1.189566302	0.269957423	2.99e-07	4.38e-05	NLGF3.vs.WT3
Qrich1	3143.427296	0.169793054	0.034616557	2.98e-07	4.38e-05	NLGF3.vs.WT3
Rn7s2	75431.71164	-1.654832395	0.38540799	2.98e-07	4.38e-05	NLGF3.vs.WT3
ND4	44514.538	0.975747198	0.237228591	3.1e-07	4.52e-05	NLGF3.vs.WT3
ND6	22275.74353	1.096950541	0.254727487	3.14e-07	4.52e-05	NLGF3.vs.WT3
Gm9794	124.8417028	-1.35294862	0.308699007	3.55e-07	5.04e-05	NLGF3.vs.WT3
Pnrc1	2036.530847	0.358418357	0.100694301	3.53e-07	5.04e-05	NLGF3.vs.WT3
Psma5	988.6576492	-0.314355956	0.077018538	3.61e-07	5.09e-05	NLGF3.vs.WT3
Tsc22d2	1951.663677	0.23652551	0.051141432	3.68e-07	5.15e-05	NLGF3.vs.WT3
Psme2b	29.15461144	-0.990996196	0.2435495	3.77e-07	5.23e-05	NLGF3.vs.WT3
Gm10651	18.36727506	-1.309203758	0.300823754	3.84e-07	5.29e-05	NLGF3.vs.WT3
LOC108167922	30.10728825	-1.457600688	0.337167029	3.89e-07	5.31e-05	NLGF3.vs.WT3
Zfp36l2	831.6967873	0.363526607	0.104794103	3.98e-07	5.4e-05	NLGF3.vs.WT3
Rtn4ip1	369.0429247	-0.287628886	0.066842247	4.08e-07	5.49e-05	NLGF3.vs.WT3
Hist1h2ao	7.779569298	-1.721823526	0.420750621	4.19e-07	5.6e-05	NLGF3.vs.WT3
Gm13202	67.07238808	-1.255320684	0.292482212	4.36e-07	5.73e-05	NLGF3.vs.WT3
Rgs7bp	9260.374078	0.329968503	0.085749856	4.33e-07	5.73e-05	NLGF3.vs.WT3
Pin4	130.281024	-0.691414355	0.217764377	4.48e-07	5.77e-05	NLGF3.vs.WT3
Rbbp6	2115.960574	0.212856901	0.045476175	4.48e-07	5.77e-05	NLGF3.vs.WT3
Yaf2	1569.838523	0.271973623	0.061878205	4.44e-07	5.77e-05	NLGF3.vs.WT3
Syn1	17340.87015	0.264442972	0.059601052	4.54e-07	5.8e-05	NLGF3.vs.WT3
Rpl37a	3053.226697	-0.253946344	0.056524043	4.6e-07	5.83e-05	NLGF3.vs.WT3
Chchd3	823.2161079	-0.214697327	0.046021998	4.67e-07	5.88e-05	NLGF3.vs.WT3
Cep63	434.3103316	-0.273437131	0.06258701	4.78e-07	5.97e-05	NLGF3.vs.WT3
Sgip1	7087.237473	0.240201146	0.052787261	4.82e-07	5.98e-05	NLGF3.vs.WT3
Ccdc51	113.825231	-0.410919907	0.135556202	4.91e-07	6.06e-05	NLGF3.vs.WT3
Abhd6	1174.946711	0.21903986	0.047414303	5.34e-07	6.54e-05	NLGF3.vs.WT3
Yars2	272.2927644	0.293417548	0.070238345	5.58e-07	6.78e-05	NLGF3.vs.WT3
Map1b	78826.70246	0.17542379	0.036906723	5.86e-07	7.07e-05	NLGF3.vs.WT3
Gm36117	183.1179908	-0.43066487	0.148670292	5.94e-07	7.12e-05	NLGF3.vs.WT3
Exosc7	355.790919	-0.54265331	0.194306467	6.01e-07	7.15e-05	NLGF3.vs.WT3
Ndufs5	817.1014171	-0.332406322	0.089581094	6.27e-07	7.42e-05	NLGF3.vs.WT3
Lrrc4	3016.147836	0.240988785	0.053751464	6.44e-07	7.56e-05	NLGF3.vs.WT3
Mrpl27	670.8978748	-0.213409755	0.046433677	6.63e-07	7.65e-05	NLGF3.vs.WT3
Rps18	2436.253612	-0.282331224	0.066770522	6.58e-07	7.65e-05	NLGF3.vs.WT3
Znrf3	957.1123954	0.227389894	0.050091027	6.6e-07	7.65e-05	NLGF3.vs.WT3
Csnk2a1	3404.088236	-0.248645664	0.056056532	6.72e-07	7.7e-05	NLGF3.vs.WT3
Lsm8	272.2998088	-0.338885528	0.094156526	6.94e-07	7.89e-05	NLGF3.vs.WT3
Ost4	329.4030574	-0.331273677	0.090093465	7.38e-07	8.15e-05	NLGF3.vs.WT3
Rfk	1193.512514	0.314132947	0.080702771	7.27e-07	8.15e-05	NLGF3.vs.WT3
Rn7s1	95823.88661	-1.652508305	0.421600052	7.3e-07	8.15e-05	NLGF3.vs.WT3
Supt4a	516.5204733	-0.296206628	0.072504384	7.22e-07	8.15e-05	NLGF3.vs.WT3
Ube2v1	1669.616588	-0.314397472	0.080935623	7.39e-07	8.15e-05	NLGF3.vs.WT3
Arf6	1484.035632	0.219058898	0.048195077	7.57e-07	8.26e-05	NLGF3.vs.WT3
Ikzf4	469.8647774	0.269654387	0.062930562	7.59e-07	8.26e-05	NLGF3.vs.WT3
Cyp51	1920.970269	-0.278529406	0.066018304	7.69e-07	8.28e-05	NLGF3.vs.WT3
Gm5643	40.41698945	-1.491603614	0.370697203	7.68e-07	8.28e-05	NLGF3.vs.WT3
Gm6579	24.09906047	-0.933118767	0.256430741	8.14e-07	8.7e-05	NLGF3.vs.WT3
H3f3b	3304.372299	-0.232463409	0.052166863	8.73e-07	9.23e-05	NLGF3.vs.WT3
Ndufa2	1040.221926	-0.316336299	0.082946795	8.73e-07	9.23e-05	NLGF3.vs.WT3
Idi1	374.0130185	-0.348569739	0.102360099	8.91e-07	9.3e-05	NLGF3.vs.WT3
Rpl36a	949.2782342	-0.304256439	0.077058411	8.86e-07	9.3e-05	NLGF3.vs.WT3
Ebna1bp2	710.0008294	-0.268423399	0.063356231	9.6e-07	9.97e-05	NLGF3.vs.WT3
Maneal	1362.747573	0.214586845	0.047622833	9.87e-07	0.000101899	NLGF3.vs.WT3
Gm11578	27.00270967	-1.389582169	0.355525151	1.08e-06	0.000110495	NLGF3.vs.WT3
Cct8	3113.816191	-0.265152456	0.062852296	1.13e-06	0.000115524	NLGF3.vs.WT3
Gm15151	14.19894762	-1.482315846	0.391771068	1.29e-06	0.000129658	NLGF3.vs.WT3
Mamld1	1492.384011	0.304462827	0.079258512	1.29e-06	0.000129658	NLGF3.vs.WT3
Tmem242	816.6302287	-0.263276579	0.062736862	1.31e-06	0.000130921	NLGF3.vs.WT3
Rlf	1320.330041	0.297536456	0.076091594	1.31e-06	0.000131084	NLGF3.vs.WT3
