Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison
Raver1	297.6438233	0.21095798	0.084812427	0.001158324	0.015095637	NLGF3.vs.WT3
Zdhhc5	1698.922275	0.135987443	0.045083447	0.001164112	0.01515993	NLGF3.vs.WT3
LOC102633274	7.601755312	-0.413134305	0.538439631	0.001165339	0.015161685	NLGF3.vs.WT3
Ralgapa1	5692.214079	0.177203202	0.063220107	0.001165955	0.015161685	NLGF3.vs.WT3
Thoc5	720.0200717	-0.154041984	0.052485335	0.001169012	0.015190313	NLGF3.vs.WT3
Celf5	7671.395541	0.171178024	0.060272665	0.001171103	0.01520635	NLGF3.vs.WT3
Gm35595	48.18657397	-0.317267807	0.317299546	0.001176618	0.015256441	NLGF3.vs.WT3
Pebp1	7180.233575	-0.177873962	0.063635226	0.00117668	0.015256441	NLGF3.vs.WT3
Sos1	2561.087011	0.176577433	0.063001876	0.001180645	0.015296675	NLGF3.vs.WT3
Ints2	594.7439392	-0.175420486	0.062479896	0.001189914	0.015395056	NLGF3.vs.WT3
Nr1d1	2559.640118	0.199725352	0.076522293	0.001189973	0.015395056	NLGF3.vs.WT3
Stam	1549.613715	0.183730247	0.066832038	0.001191314	0.015401181	NLGF3.vs.WT3
A330048O09Rik	19.53971736	0.316708315	0.318329072	0.001195827	0.01541562	NLGF3.vs.WT3
Creld2	284.5853884	-0.214604297	0.08882708	0.001194175	0.01541562	NLGF3.vs.WT3
Gcc1	763.1220404	-0.188291752	0.069414133	0.001194817	0.01541562	NLGF3.vs.WT3
Kansl1	3148.068928	0.109512798	0.035347773	0.00119676	0.01541562	NLGF3.vs.WT3
Syna	328.4853438	0.234908888	0.124309677	0.001196773	0.01541562	NLGF3.vs.WT3
Abcb4	164.5389281	-0.192661182	0.072055803	0.001200636	0.015454156	NLGF3.vs.WT3
Gm2a	1824.788302	0.197325957	0.075045602	0.00120366	0.015481852	NLGF3.vs.WT3
A230056P14Rik	466.0119504	0.207299876	0.082376172	0.001207707	0.015511432	NLGF3.vs.WT3
Usp22	9084.287789	0.147522323	0.049911384	0.00120695	0.015511432	NLGF3.vs.WT3
Vsir	764.5284972	-0.160449719	0.055499351	0.001208807	0.015514329	NLGF3.vs.WT3
Ndufb10	1267.172037	-0.21822209	0.093129901	0.001210609	0.01552624	NLGF3.vs.WT3
Arl13b	256.388926	-0.189121338	0.070051604	0.001214065	0.015559319	NLGF3.vs.WT3
Minpp1	1481.339507	0.126945988	0.041824393	0.001223275	0.015666037	NLGF3.vs.WT3
Pdhx	1161.928468	-0.169673736	0.05987527	0.001225202	0.015679401	NLGF3.vs.WT3
Dbndd2	2578.346483	-0.207484326	0.082764329	0.001226259	0.01568095	NLGF3.vs.WT3
Traf3ip1	427.6209259	-0.159141791	0.055008638	0.00122709	0.01568095	NLGF3.vs.WT3
Atxn1	7046.822422	0.143281104	0.048256395	0.001228005	0.015681364	NLGF3.vs.WT3
Rpl19	4268.450814	-0.153485388	0.052539484	0.001229501	0.015689171	NLGF3.vs.WT3
Tti1	638.4735126	-0.13393246	0.044543293	0.001232083	0.015710828	NLGF3.vs.WT3
Nlgn1	3239.160902	0.180774304	0.065561091	0.001236203	0.015752053	NLGF3.vs.WT3
Ptpa	4776.418665	-0.190424894	0.071022299	0.001238342	0.015767986	NLGF3.vs.WT3
Rpl34-ps1	56.07263352	-0.366357589	0.424507164	0.001243714	0.015825031	NLGF3.vs.WT3
Gm15723	67.23658331	0.231275383	0.117441596	0.001246345	0.015847155	NLGF3.vs.WT3
2510009E07Rik	1893.64805	0.150615238	0.05140436	0.001249703	0.015867114	NLGF3.vs.WT3
Usp31	5386.842385	0.136172232	0.045488127	0.001249272	0.015867114	NLGF3.vs.WT3
Cbfa2t3	1565.75956	0.211528235	0.086705713	0.001252011	0.015885053	NLGF3.vs.WT3
Papd5	1267.174115	0.149063258	0.050766639	0.001254066	0.015899768	NLGF3.vs.WT3
Bre	805.3237558	0.148024909	0.050352095	0.001259138	0.015952673	NLGF3.vs.WT3
Sec22c	1253.840414	-0.137357141	0.046001575	0.001260664	0.015960624	NLGF3.vs.WT3
Ubtd2	825.8699229	0.172836375	0.061647904	0.001262815	0.015976449	NLGF3.vs.WT3
Kdm6a	940.4792888	0.198079654	0.076206842	0.001271398	0.016062141	NLGF3.vs.WT3
Lonrf2	6951.769158	0.119781025	0.039295482	0.00127092	0.016062141	NLGF3.vs.WT3
Otud5	2004.343051	0.128255437	0.04250118	0.001274952	0.016095586	NLGF3.vs.WT3
Cep85l	664.5789969	0.168561007	0.059653848	0.001279549	0.016142147	NLGF3.vs.WT3
Rpl34	1541.892834	-0.151207281	0.051802908	0.001281987	0.016161415	NLGF3.vs.WT3
Lrfn5	2354.253591	0.138992279	0.046748706	0.001284836	0.016174349	NLGF3.vs.WT3
Otud1	381.1076044	0.225777249	0.106672586	0.001284712	0.016174349	NLGF3.vs.WT3
Ccdc71l	870.4191088	0.203610774	0.080386406	0.001287016	0.016189204	NLGF3.vs.WT3
Smad9	505.5624884	0.167935267	0.059399695	0.00128784	0.016189204	NLGF3.vs.WT3
Ajap1	1325.141529	0.196289012	0.075164039	0.001289079	0.01619331	NLGF3.vs.WT3
Tsen15	218.4165417	0.182020686	0.066615795	0.001291134	0.016207659	NLGF3.vs.WT3
Il1a	8.500651485	0.361634366	0.422641379	0.001292633	0.016215008	NLGF3.vs.WT3
Unc79	3440.389485	0.142695581	0.048299192	0.001296745	0.016255096	NLGF3.vs.WT3
Sox12	608.10937	0.183436164	0.067459253	0.001299999	0.016284385	NLGF3.vs.WT3
Pgd	792.0862098	-0.180363022	0.065784542	0.001301185	0.016287749	NLGF3.vs.WT3
Dtymk	366.1158046	-0.183117355	0.067319385	0.001305318	0.016327972	NLGF3.vs.WT3
Ddah1	2397.643045	0.18154923	0.066468147	0.001307134	0.01633917	NLGF3.vs.WT3
Lpar4	80.9625003	0.243087754	0.156656296	0.001310563	0.016366506	NLGF3.vs.WT3
Pik3c3	1322.630104	-0.131509229	0.043886712	0.001312087	0.016366506	NLGF3.vs.WT3
Tpp1	1521.453298	0.222113608	0.100915597	0.001311813	0.016366506	NLGF3.vs.WT3
Ckmt1	4950.422866	-0.203940118	0.080977129	0.001316797	0.016407993	NLGF3.vs.WT3
Flrt3	1081.326501	0.213562069	0.089768597	0.001317261	0.016407993	NLGF3.vs.WT3
Ankle2	1335.23104	0.111791619	0.036507783	0.001318938	0.016417356	NLGF3.vs.WT3
Ttc5	873.1279993	-0.210786512	0.087031619	0.001323393	0.016461271	NLGF3.vs.WT3
Rasgrp1	19293.07532	0.203427979	0.080671374	0.001325537	0.016476383	NLGF3.vs.WT3
Snx3	2359.566298	0.142809149	0.048495191	0.001334255	0.016573143	NLGF3.vs.WT3
Arl8b	4459.848985	0.182873504	0.067422857	0.001339712	0.016596754	NLGF3.vs.WT3
Cct7	3487.327297	-0.146081505	0.049875152	0.001339115	0.016596754	NLGF3.vs.WT3
Mina	172.8261564	-0.206028529	0.08294912	0.001339896	0.016596754	NLGF3.vs.WT3
Mrpl21	312.7987355	-0.179996649	0.065835878	0.001338697	0.016596754	NLGF3.vs.WT3
2900079G21Rik	63.21006128	0.237076272	0.140064485	0.001341567	0.016605868	NLGF3.vs.WT3
Hist2h2aa2	49.60079556	-0.287823473	0.273409153	0.001344221	0.016627128	NLGF3.vs.WT3
Cd99l2	1872.634496	-0.127550949	0.042472697	0.00134743	0.016655208	NLGF3.vs.WT3
Rnf11	3784.135282	0.205216402	0.082396985	0.00135069	0.016683887	NLGF3.vs.WT3
Tbp	322.773653	0.180281731	0.066103721	0.00135596	0.016737341	NLGF3.vs.WT3
Fbxo7	537.6827824	-0.144725167	0.049382706	0.001357674	0.016746852	NLGF3.vs.WT3
Car5b	112.9890501	0.228259635	0.11552678	0.001366836	0.016778246	NLGF3.vs.WT3
Cdc5l	1482.965002	-0.138271935	0.046758261	0.001364416	0.016778246	NLGF3.vs.WT3
Diaph2	1152.679208	0.209884525	0.086760036	0.001366113	0.016778246	NLGF3.vs.WT3
Egfl8	25.89521202	-0.265210694	0.222329054	0.001364602	0.016778246	NLGF3.vs.WT3
Pabpc1l2b-ps	35.76041389	-0.381525122	0.49623593	0.001365719	0.016778246	NLGF3.vs.WT3
Smim7	1685.795107	-0.131361832	0.044002298	0.001362503	0.016778246	NLGF3.vs.WT3
Sqle	2130.838196	-0.163625166	0.057773111	0.001366788	0.016778246	NLGF3.vs.WT3
Mrpl20	518.9985659	-0.177667827	0.064787398	0.001369803	0.016803042	NLGF3.vs.WT3
Homez	443.7103848	0.155150088	0.053935312	0.001373584	0.016837793	NLGF3.vs.WT3
Cd80	24.27735012	0.244937804	0.167687918	0.001380601	0.016912119	NLGF3.vs.WT3
Susd4	3951.122218	0.133097779	0.044764024	0.001385533	0.016949149	NLGF3.vs.WT3
Uqcc3	264.0184565	-0.193672609	0.074274389	0.001384709	0.016949149	NLGF3.vs.WT3
Trmt12	216.7863355	-0.189901965	0.071947567	0.001394229	0.017043774	NLGF3.vs.WT3
Acot2	328.0179707	0.191992381	0.073310628	0.001400007	0.017079294	NLGF3.vs.WT3
Dcaf6	2416.492451	0.126893271	0.042387877	0.001400021	0.017079294	NLGF3.vs.WT3
Polr3h	835.6083874	-0.17305747	0.062567131	0.001399833	0.017079294	NLGF3.vs.WT3
Ccne2	58.39247298	0.238793165	0.149861337	0.001401954	0.017091131	NLGF3.vs.WT3
Rps12	2688.37654	-0.136699888	0.046266672	0.001404052	0.017104958	NLGF3.vs.WT3
Rps27a	2119.207522	-0.178415782	0.065420907	0.00140728	0.01713252	NLGF3.vs.WT3
2900097C17Rik	35264.10749	-0.191909288	0.073361566	0.001412983	0.017182219	NLGF3.vs.WT3
Gpc6	475.1948858	0.219973629	0.100057378	0.001413298	0.017182219	NLGF3.vs.WT3
Laptm4a	3009.67542	0.19181055	0.073323896	0.001416202	0.017205738	NLGF3.vs.WT3
Parn	747.5140505	-0.174214997	0.063310125	0.00142547	0.017294668	NLGF3.vs.WT3
Zfp933	458.6639084	0.206064438	0.083998455	0.001425319	0.017294668	NLGF3.vs.WT3
Rpl31-ps12	26.77460221	-0.301947478	0.312091219	0.0014265	0.017295339	NLGF3.vs.WT3
Azin2	828.324061	-0.205047189	0.083160875	0.001429256	0.017304982	NLGF3.vs.WT3
Mir6390	46.94863582	-0.24071113	0.158050942	0.001428903	0.017304982	NLGF3.vs.WT3
Pfdn5	1909.364419	-0.148207917	0.051147124	0.00143022	0.017304982	NLGF3.vs.WT3
Terc	17.74347006	0.300002365	0.308397132	0.001431894	0.017313432	NLGF3.vs.WT3
Neto1	5749.238567	0.21466619	0.093154701	0.001442162	0.017425713	NLGF3.vs.WT3
Rab5a	2011.144709	0.196805425	0.077000035	0.001452889	0.017535262	NLGF3.vs.WT3
Ythdf2	1246.30974	0.122788662	0.040974619	0.001453204	0.017535262	NLGF3.vs.WT3
Chmp7	2161.038723	-0.180193742	0.06669044	0.001454877	0.017543521	NLGF3.vs.WT3
Abhd12	5721.685104	0.137721555	0.04687192	0.001458487	0.017575118	NLGF3.vs.WT3
Pet100	311.6731175	-0.191520639	0.07356776	0.001470776	0.017711181	NLGF3.vs.WT3
Rpl22	1693.547198	-0.149608986	0.051926049	0.001473435	0.017731162	NLGF3.vs.WT3
Acly	5320.435321	-0.150082634	0.052165792	0.001481744	0.017819077	NLGF3.vs.WT3
Micu3	1756.774763	0.211583818	0.090272333	0.001487489	0.017876049	NLGF3.vs.WT3
Zfp454	84.66675118	0.206907802	0.085538311	0.001489547	0.017888676	NLGF3.vs.WT3
1110002L01Rik	76.52666877	-0.218716724	0.100057586	0.00149767	0.017937679	NLGF3.vs.WT3
Eif6	901.4167623	-0.210566044	0.089306687	0.001497561	0.017937679	NLGF3.vs.WT3
Lrfn3	1001.412962	0.198923539	0.078956597	0.00149764	0.017937679	NLGF3.vs.WT3
Zfp846	634.5898544	0.189654734	0.072567923	0.001496542	0.017937679	NLGF3.vs.WT3
Zfp442	308.767038	-0.201310357	0.080884584	0.001505404	0.018018155	NLGF3.vs.WT3
Btf3	1983.625278	-0.184552793	0.069529589	0.001508145	0.018038801	NLGF3.vs.WT3
Eid2	714.3144265	0.174843484	0.064124456	0.001510506	0.018054873	NLGF3.vs.WT3
Anp32e	2096.82445	-0.176182835	0.064873961	0.001516713	0.018116858	NLGF3.vs.WT3
Bpnt1	1543.386683	-0.131657972	0.04464189	0.001522565	0.01816472	NLGF3.vs.WT3
Fam120b	1774.611411	0.130702444	0.044272112	0.001525836	0.01816472	NLGF3.vs.WT3
Ncbp2	849.0408137	-0.149206759	0.051956969	0.001525446	0.01816472	NLGF3.vs.WT3
Ntsr2	2243.616528	0.212505273	0.091914174	0.001524664	0.01816472	NLGF3.vs.WT3
Zbtb44	1898.266179	0.185689273	0.070312386	0.001523699	0.01816472	NLGF3.vs.WT3
Glis3	706.1750233	0.225936029	0.116667084	0.001528524	0.018184514	NLGF3.vs.WT3
Khdrbs1	2637.651295	0.144870618	0.050106823	0.001530433	0.018195037	NLGF3.vs.WT3
Mrpl30	734.3841112	0.175390787	0.064602322	0.001543636	0.01833972	NLGF3.vs.WT3
Iqsec1	11985.90437	0.175714232	0.06485443	0.001557594	0.018493175	NLGF3.vs.WT3
Rsph3b	195.903145	-0.204237926	0.083920389	0.001559665	0.018505383	NLGF3.vs.WT3
Orai1	201.6428181	0.221258491	0.106560441	0.001562781	0.01852997	NLGF3.vs.WT3
Gm38910	135.9398617	0.214354405	0.094989753	0.001567086	0.018547278	NLGF3.vs.WT3
Pccb	1410.877936	-0.153969753	0.054238446	0.001567376	0.018547278	NLGF3.vs.WT3
Saraf	6069.311275	-0.150917412	0.052870711	0.001566724	0.018547278	NLGF3.vs.WT3
Zbtb8os	115.3509547	-0.207847944	0.087439246	0.001568561	0.018548935	NLGF3.vs.WT3
Ccdc149	1824.319125	-0.199790564	0.080357856	0.001575457	0.018618085	NLGF3.vs.WT3
Stmn4	2860.330736	-0.201302815	0.081630933	0.001580808	0.018668886	NLGF3.vs.WT3
Rhbdl3	920.4557062	-0.20814636	0.087966353	0.00158585	0.018715986	NLGF3.vs.WT3
Snap91	12371.47144	0.133864725	0.045738927	0.001589453	0.018746044	NLGF3.vs.WT3
Lrrc69	26.27400542	0.236295447	0.155415861	0.001596161	0.018812131	NLGF3.vs.WT3
Zfp942	330.7007197	0.222199976	0.109800134	0.001597176	0.018812131	NLGF3.vs.WT3
Otx1	87.59439854	0.234593533	0.150130232	0.001606188	0.018905725	NLGF3.vs.WT3
Apmap	1242.172156	-0.163184946	0.058725595	0.001608873	0.018924786	NLGF3.vs.WT3
Rgcc	284.412884	0.199110307	0.080167764	0.001612618	0.018955972	NLGF3.vs.WT3
Syvn1	1396.100583	0.169762649	0.062026308	0.00161366	0.018955972	NLGF3.vs.WT3
Sacs	5016.863556	0.189565502	0.073380086	0.001615507	0.018965113	NLGF3.vs.WT3
Kcnmb4	105.8204789	0.214906448	0.096715523	0.00161763	0.018977486	NLGF3.vs.WT3
Kcnn2	943.9041663	0.183114554	0.069437458	0.001625597	0.019058357	NLGF3.vs.WT3
Npm3	97.49053051	-0.195851026	0.077843811	0.001630683	0.019105363	NLGF3.vs.WT3
Camta1	11961.17865	0.145420558	0.050713319	0.001632649	0.019115784	NLGF3.vs.WT3
Tmem28	429.6085891	0.189919812	0.073748326	0.001634408	0.019123765	NLGF3.vs.WT3
Tlr7	71.35994192	0.225448656	0.120294152	0.00163666	0.019137489	NLGF3.vs.WT3
Prss12	444.1856188	-0.228200056	0.129427058	0.001638207	0.019142976	NLGF3.vs.WT3
Srrm1	2315.372099	0.124980748	0.042356739	0.001641768	0.019171963	NLGF3.vs.WT3
Exo5	186.7401598	-0.191671405	0.074997315	0.001644724	0.019185992	NLGF3.vs.WT3
Mrps9	482.5795344	-0.183179785	0.069598503	0.001645131	0.019185992	NLGF3.vs.WT3
Glul	44624.66829	-0.165534056	0.060052859	0.001646825	0.019193133	NLGF3.vs.WT3
Ldlr	1184.776761	-0.210481324	0.091448574	0.001651042	0.019229652	NLGF3.vs.WT3
Vma21	969.9091575	0.229825019	0.136222291	0.001655127	0.019264589	NLGF3.vs.WT3
Dctn3	1486.770036	-0.168990696	0.061853254	0.001658709	0.01929363	NLGF3.vs.WT3
Sumo3	2580.10008	-0.169344291	0.062070086	0.001665914	0.019364745	NLGF3.vs.WT3
Odc1	1477.527496	-0.174352707	0.064741232	0.001671625	0.019418416	NLGF3.vs.WT3
Rictor	2557.908953	0.162407357	0.058642149	0.001674537	0.019439521	NLGF3.vs.WT3
Tars2	612.722814	-0.173603864	0.064362342	0.001676356	0.019447923	NLGF3.vs.WT3
Dnajb9	767.4610196	0.219787419	0.106976587	0.001679729	0.019474329	NLGF3.vs.WT3
Cenpp	66.659859	0.228221745	0.132539299	0.001689279	0.01957226	NLGF3.vs.WT3
Ist1	1332.506951	-0.135939767	0.046913838	0.001694114	0.019602683	NLGF3.vs.WT3
Rab11fip4	14055.44491	-0.192586643	0.07599969	0.001693768	0.019602683	NLGF3.vs.WT3
Zhx1	2471.565853	0.188263222	0.073144926	0.001703151	0.019694418	NLGF3.vs.WT3
Csrp2bp	894.2686264	-0.161124975	0.058149683	0.001704262	0.019694438	NLGF3.vs.WT3
Zfp148	4495.249282	0.167055793	0.061095269	0.00170671	0.019709885	NLGF3.vs.WT3
Matn4	271.6351582	-0.212351922	0.094794779	0.001711855	0.019756457	NLGF3.vs.WT3
Ric8b	946.2742449	0.161150542	0.058223437	0.001718662	0.019822125	NLGF3.vs.WT3
Rap1gds1	7930.969496	0.156831425	0.056174942	0.001720767	0.019833516	NLGF3.vs.WT3
Oser1	128.5512815	-0.187951777	0.073087809	0.001724649	0.019865361	NLGF3.vs.WT3
Nsa2	664.669722	-0.172838694	0.064209544	0.001726623	0.019875199	NLGF3.vs.WT3
Ddx47	924.3472449	-0.150723349	0.053423666	0.001735381	0.019963068	NLGF3.vs.WT3
Rsl24d1	973.6716846	-0.163733322	0.059568106	0.001737249	0.019971608	NLGF3.vs.WT3
Gm39014	43.74417965	0.229618112	0.142032568	0.001756749	0.020182713	NLGF3.vs.WT3
Cyp4x1	140.9968968	0.20764846	0.089681976	0.001759469	0.020200889	NLGF3.vs.WT3
Pdlim2	440.0119627	-0.231681965	0.150226171	0.00176147	0.020210791	NLGF3.vs.WT3
Hapln1	868.0128781	0.208561347	0.090841261	0.001767953	0.020257063	NLGF3.vs.WT3
Tpm3	3185.207338	-0.155692894	0.055831353	0.001768927	0.020257063	NLGF3.vs.WT3
Zscan20	293.6678037	-0.176931327	0.066676431	0.00176734	0.020257063	NLGF3.vs.WT3
Tap1	113.9007055	-0.238335705	0.175286713	0.001772675	0.020286899	NLGF3.vs.WT3
Glrx5	715.4927594	-0.171559133	0.063804034	0.001783087	0.020392904	NLGF3.vs.WT3
Kctd12b	155.9601498	0.22937652	0.14307221	0.001786515	0.020418952	NLGF3.vs.WT3
Wdr5	673.3801475	-0.136545868	0.047458155	0.001790214	0.020448072	NLGF3.vs.WT3
Gm32679	18.54077282	-0.258453417	0.238795776	0.001795795	0.020498624	NLGF3.vs.WT3
Rab24	900.6052466	-0.175970495	0.066294206	0.001797437	0.02050418	NLGF3.vs.WT3
Lrrtm2	1731.97276	0.212266506	0.096224345	0.001801998	0.020543014	NLGF3.vs.WT3
Synm	2056.276957	-0.144455688	0.050881872	0.001804218	0.020555117	NLGF3.vs.WT3
Olfm1	25021.91651	0.167222787	0.061643046	0.001807569	0.020580086	NLGF3.vs.WT3
Cysltr1	14.02691197	0.297788331	0.341098749	0.001809718	0.020583608	NLGF3.vs.WT3
Slc14a1	610.8026141	0.187325798	0.073245144	0.001810198	0.020583608	NLGF3.vs.WT3
Taz	421.8539537	-0.142719192	0.050154354	0.001812778	0.020599748	NLGF3.vs.WT3
Cse1l	1504.466769	0.189580204	0.074789824	0.001814991	0.020611704	NLGF3.vs.WT3
Eif4g2	15069.63233	0.170316938	0.063340014	0.001824483	0.020697007	NLGF3.vs.WT3
Pias3	589.6840034	0.175433156	0.066134453	0.001824835	0.020697007	NLGF3.vs.WT3
Lrrfip1	1121.904844	-0.166292255	0.061249117	0.001826364	0.02070113	NLGF3.vs.WT3
Hist1h2ak	106.587495	0.229716847	0.147198454	0.001828269	0.020709487	NLGF3.vs.WT3
Ube2d1	799.2039015	0.204432958	0.08711134	0.001831192	0.020729368	NLGF3.vs.WT3
Pcdhga1	225.4689248	0.210067582	0.093713975	0.001836777	0.020779344	NLGF3.vs.WT3
Tcf12	1613.213489	0.158656269	0.057512297	0.001839194	0.02079344	NLGF3.vs.WT3
Nek6	878.1447954	0.170471422	0.063506387	0.001842339	0.020815736	NLGF3.vs.WT3
Dusp28	305.807482	0.182890421	0.070633713	0.001845234	0.020835185	NLGF3.vs.WT3
1700066M21Rik	503.9705668	0.214700701	0.101451949	0.001863543	0.021015177	NLGF3.vs.WT3
Nenf	601.4780874	-0.176245092	0.066787696	0.001862581	0.021015177	NLGF3.vs.WT3
Aqp4	3979.240898	0.204181582	0.087240076	0.001865886	0.021028152	NLGF3.vs.WT3
Ccdc12	365.4964146	-0.188967153	0.074725571	0.001867485	0.021028152	NLGF3.vs.WT3
Cd2bp2	1927.359435	-0.183462397	0.071125644	0.001868248	0.021028152	NLGF3.vs.WT3
Jkamp	664.244635	0.170496098	0.06365449	0.00187115	0.021047473	NLGF3.vs.WT3
Chst15	1498.418044	0.172752642	0.064899846	0.001875608	0.021084258	NLGF3.vs.WT3
Ldha	4660.876195	-0.159147611	0.057926772	0.00188422	0.021167656	NLGF3.vs.WT3
Ywhab	14682.12226	0.121240709	0.041522153	0.001887931	0.021195938	NLGF3.vs.WT3
Opcml	10697.55016	0.170539871	0.063780704	0.001893238	0.021242087	NLGF3.vs.WT3
Ripk2	138.9277794	0.210458984	0.095166938	0.001895213	0.021250806	NLGF3.vs.WT3
Zfp628	466.1099684	0.193281659	0.078092938	0.001905247	0.021349836	NLGF3.vs.WT3
Lamb3	34.95170227	-0.227146126	0.14263313	0.001914466	0.021439606	NLGF3.vs.WT3
Gm42092	307.5080961	-0.284527991	0.317845295	0.001918583	0.021459059	NLGF3.vs.WT3
Rpl9	4171.922575	-0.151158313	0.054274431	0.001918621	0.021459059	NLGF3.vs.WT3
Zkscan1	2679.745359	0.138737639	0.04877167	0.001920383	0.021465241	NLGF3.vs.WT3
Nfkbil1	209.8187257	-0.21443089	0.102490301	0.001932335	0.021571663	NLGF3.vs.WT3
Rab5b	4125.440518	-0.115536456	0.039403261	0.001932217	0.021571663	NLGF3.vs.WT3
Akap1	1405.219539	-0.172708196	0.065179352	0.001939084	0.021626086	NLGF3.vs.WT3
Gm41885	19.96265635	-0.331646307	0.487630261	0.001939647	0.021626086	NLGF3.vs.WT3
Egr3	3014.911226	0.20323819	0.087201687	0.001951699	0.021724169	NLGF3.vs.WT3
Uimc1	355.9368789	-0.181731857	0.070521432	0.001950894	0.021724169	NLGF3.vs.WT3
Zfp770	610.6332558	0.21062977	0.096348407	0.001952115	0.021724169	NLGF3.vs.WT3
Itfg1	3464.739638	0.193017513	0.078291116	0.001959157	0.021765518	NLGF3.vs.WT3
Psma2	1332.777883	-0.160310693	0.058790524	0.00195951	0.021765518	NLGF3.vs.WT3
Smpd2	275.71643	-0.177255929	0.067867093	0.001959058	0.021765518	NLGF3.vs.WT3
Ahcyl1	10423.91368	-0.147191573	0.052609437	0.001961336	0.021772175	NLGF3.vs.WT3
Lats1	1810.048962	0.144550288	0.051433503	0.001963124	0.021778409	NLGF3.vs.WT3
Psmd14	1382.078886	-0.172367542	0.065135468	0.001969837	0.021839235	NLGF3.vs.WT3
Gm5512	10.90244093	-0.317824138	0.42079716	0.001980435	0.021915662	NLGF3.vs.WT3
Pura	5535.27581	0.178334746	0.068604932	0.001978552	0.021915662	NLGF3.vs.WT3
Spast	1704.318141	0.160572522	0.058996949	0.00197925	0.021915662	NLGF3.vs.WT3
9330159F19Rik	1894.296412	0.195896198	0.080971311	0.00201029	0.02219832	NLGF3.vs.WT3
Gm3650	8.467222588	-0.325839788	0.470649334	0.002009848	0.02219832	NLGF3.vs.WT3
Gm41257	64.62504188	0.262371238	0.26627695	0.00201098	0.02219832	NLGF3.vs.WT3
Mbd1	1112.170864	-0.142460985	0.050655953	0.002010839	0.02219832	NLGF3.vs.WT3
Fastkd1	270.7174341	0.201228829	0.085810286	0.002013741	0.022214982	NLGF3.vs.WT3
Dpm1	64.42265683	0.230643138	0.163959482	0.002017304	0.022231654	NLGF3.vs.WT3
Tma7	1450.319789	-0.198010455	0.082846001	0.002017757	0.022231654	NLGF3.vs.WT3
Timeless	111.5443705	-0.212313056	0.100513244	0.002026985	0.02229181	NLGF3.vs.WT3
Tmem11	466.9684833	-0.174719325	0.066730238	0.002026422	0.02229181	NLGF3.vs.WT3
Zfp91	2582.729867	0.198655451	0.083482778	0.002024566	0.02229181	NLGF3.vs.WT3
S100a16	1119.969442	-0.152124485	0.055103258	0.00202955	0.022306205	NLGF3.vs.WT3
Gm4705	43.69916378	-0.323887344	0.498954084	0.002032355	0.02232321	NLGF3.vs.WT3
Tmem8	305.388181	0.193901791	0.079533618	0.002034021	0.022327694	NLGF3.vs.WT3
Atp5h	3164.477511	-0.158911257	0.058419024	0.002043915	0.022422427	NLGF3.vs.WT3
Glod4	1330.325695	-0.157318608	0.057656259	0.002049164	0.022466129	NLGF3.vs.WT3
Arid1b	6586.327885	0.162090516	0.060057969	0.002056268	0.022517042	NLGF3.vs.WT3
Mcur1	816.024457	0.163753039	0.060913318	0.002057515	0.022517042	NLGF3.vs.WT3
Rps13-ps4	54.94506607	-0.310947939	0.409909259	0.002057614	0.022517042	NLGF3.vs.WT3
Dazap2	2333.747597	0.168892204	0.063633676	0.002059306	0.022521679	NLGF3.vs.WT3
Ackr3	316.0081992	0.207041727	0.093063758	0.002071346	0.022631352	NLGF3.vs.WT3
Tyw1	439.5163577	-0.181508974	0.071048212	0.002071884	0.022631352	NLGF3.vs.WT3
Anks1b	11406.52784	0.109849082	0.037514358	0.002073187	0.022631652	NLGF3.vs.WT3
Ccdc73	144.1918651	0.196494605	0.082013421	0.002076761	0.022656735	NLGF3.vs.WT3
Frg1	275.7072739	-0.190040342	0.076922373	0.00208287	0.022686672	NLGF3.vs.WT3
Rpl13a	5505.20295	-0.192159091	0.078519008	0.002082462	0.022686672	NLGF3.vs.WT3
Slc33a1	767.3733369	0.190296665	0.077115093	0.002083339	0.022686672	NLGF3.vs.WT3
Hist1h2bn	49.32241491	0.235546661	0.187837436	0.002089016	0.022734543	NLGF3.vs.WT3
Gabbr2	9934.732651	0.174129577	0.066755591	0.002103469	0.022877799	NLGF3.vs.WT3
Eci1	342.1981845	-0.187865861	0.075577336	0.002118677	0.022986863	NLGF3.vs.WT3
Gnl1	4685.473301	-0.200675482	0.086259826	0.002116907	0.022986863	NLGF3.vs.WT3
Naa38	222.1942404	-0.200054812	0.085650181	0.002117877	0.022986863	NLGF3.vs.WT3
Pag1	1193.647572	0.152965597	0.05579619	0.002117482	0.022986863	NLGF3.vs.WT3
Gm38623	8.647253965	0.284389782	0.336639663	0.002120554	0.022993183	NLGF3.vs.WT3
Foxq1	141.6213838	0.21504524	0.108913424	0.002125513	0.023032875	NLGF3.vs.WT3
Ppp1r11	1216.478646	-0.177536511	0.068891144	0.002129538	0.023062415	NLGF3.vs.WT3
Zfp781	63.98635176	-0.233426253	0.182839926	0.002131154	0.023065841	NLGF3.vs.WT3
Dnajc24	156.1080069	-0.180408356	0.070688511	0.002134768	0.02309088	NLGF3.vs.WT3
Gm40349	11.83729016	0.290081912	0.354940153	0.002139356	0.023126408	NLGF3.vs.WT3
